SLT01_PXD013011-C1R0.raw	W10.raw
SLT01_PXD013011-C1R1.raw	W11.raw
SLT01_PXD013011-C1R2.raw	W12.raw
SLT01_PXD013011-C2R0.raw	W25.raw
SLT01_PXD013011-C2R1.raw	W26.raw
SLT01_PXD013011-C2R2.raw	W27.raw
SLT01_PXD013011-C3R0.raw	W28.raw
SLT01_PXD013011-C3R1.raw	W29.raw
SLT01_PXD013011-C3R2.raw	W30.raw
SLT01_PXD013011-C4R0.raw	W31.raw
SLT01_PXD013011-C4R1.raw	W32.raw
SLT01_PXD013011-C4R2.raw	W33.raw
SLT01_PXD013011-C5R0.raw	W34.raw
SLT01_PXD013011-C5R1.raw	W35.raw
SLT01_PXD013011-C5R2.raw	W36.raw
SLT01_PXD013011-C6R0.raw	W37_171213100314.raw
SLT01_PXD013011-C6R1.raw	W38_171213151722.raw
SLT01_PXD013011-C6R2.raw	W39_171213203213.raw
SLT01_PXD013011-C7R0.raw	W40.raw
SLT01_PXD013011-C7R1.raw	W41.raw
SLT01_PXD013011-C7R2.raw	W42.raw
SLT01_PXD013011-C0R0.raw	W7_171130100326.raw
SLT01_PXD013011-C0R1.raw	W8_171130150930.raw
SLT01_PXD013011-C0R2.raw	W9.raw
SLT01_PXD016028_C0R0.mzML	easy_nlc_CBI_M9_24hrs_FT_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C0R1.mzML	easy_nlc_CBI_M9_24hrs_FT_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C0R2.mzML	easy_nlc_CBI_M9_24hrs_FT_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C1R0.mzML	easy_nlc_CBI_M9_24hrs_OMV_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C1R1.mzML	easy_nlc_CBI_M9_24hrs_OMV_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C1R2.mzML	easy_nlc_CBI_M9_24hrs_OMV_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C2R0.mzML	easy_nlc_CBI_M9_24hrs_SN_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C2R1.mzML	easy_nlc_CBI_M9_24hrs_SN_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C2R2.mzML	easy_nlc_CBI_M9_24hrs_SN_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C3R0.mzML	easy_nlc_CBI_M9_48hrs_FT_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C3R1.mzML	easy_nlc_CBI_M9_48hrs_FT_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C3R2.mzML	easy_nlc_CBI_M9_48hrs_FT_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C4R0.mzML	easy_nlc_CBI_M9_48hrs_OMV_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C4R1.mzML	easy_nlc_CBI_M9_48hrs_OMV_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C4R2.mzML	easy_nlc_CBI_M9_48hrs_OMV_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C5R0.mzML	easy_nlc_CBI_M9_48hrs_SN_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C5R1.mzML	easy_nlc_CBI_M9_48hrs_SN_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C5R2.mzML	easy_nlc_CBI_M9_48hrs_SN_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C6R0.mzML	easy_nlc_CBI_M9_72hrs_FT_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C6R1.mzML	easy_nlc_CBI_M9_72hrs_FT_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C6R2.mzML	easy_nlc_CBI_M9_72hrs_FT_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C7R0.mzML	easy_nlc_CBI_M9_72hrs_OMV_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C7R1.mzML	easy_nlc_CBI_M9_72hrs_OMV_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C7R2.mzML	easy_nlc_CBI_M9_72hrs_OMV_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C8R0.mzML	easy_nlc_CBI_M9_72hrs_SN_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C8R1.mzML	easy_nlc_CBI_M9_72hrs_SN_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C8R2.mzML	easy_nlc_CBI_M9_72hrs_SN_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C9R0.mzML	easy_nlc_CBI_lignin_24hrs_FT_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C9R1.mzML	easy_nlc_CBI_lignin_24hrs_FT_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C9R2.mzML	easy_nlc_CBI_lignin_24hrs_FT_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C10R0.mzML	easy_nlc_CBI_lignin_24hrs_OMV_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C10R1.mzML	easy_nlc_CBI_lignin_24hrs_OMV_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C10R2.mzML	easy_nlc_CBI_lignin_24hrs_OMV_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C11R0.mzML	easy_nlc_CBI_lignin_24hrs_SN_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C11R1.mzML	easy_nlc_CBI_lignin_24hrs_SN_rep2_c18_ac25cm_01.mzML
SLT01_PXD016028_C11R2.mzML	easy_nlc_CBI_lignin_24hrs_SN_rep3_c18_ac25cm_01.mzML
SLT01_PXD016028_C12R0.mzML	easy_nlc_CBI_lignin_48hrs_FT_rep1_c18_ac25cm_01.mzML
SLT01_PXD016028_C12R1.mzML	easy_nlc_CBI_lignin_48hrs_FT_rep2_c18_ac25cm_01.mzML
